"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"ALL Other","Bromor Foods",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","BR009","Energade Assorted Flav  24X500ML",1,241.30,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","DRA002","Dragon Energy Drinks 24x500ml",3,600,16
"ALL Other","Foxi Snax",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","FN001","Foxi Nax Cheese 50x22g",1,71.13,16
"ALL Other","Foxi Snax",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","FN006","Foxi Nax BBQ 50x22g",1,71.13,16
"ALL Other","The Beverage Co",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","P5500109","Super C Can Mixed Berry 6x4x500ml",1,189,16
"ALL Other","The Beverage Co",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","P660185","Super C Org Sparkling Glucose 6x4x500ml",1,173.91,16
"ALL Other","Snack a Juice",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SJ200","Snack a Juice Assrt S/C 100% 24x500ml",1,345.92,16
"ALL Other","Dairy Products",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SQ201","SQ D/Thick 12x300ml Chocolate",1,134.78,16
"ALL Other","Dairy Products",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SQ202","SQ D/Thick 12x300ml Strawberry",1,134.78,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SWI002","Switch Energy Element 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SWI017","Switch Vit C Orange  24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SWI039","Switch Tropical 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422456","P993","TSHIPISE GARAGE (I)","P. O. Box 16","Tshipise","","0901","Plot 13","Tshipise","Musina","0901","083 462 1806","SWI048","Switch S/Free Dragonfruit/Berries 24x500ml",1,176.09,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR002","Energade Naartjie 24X500ML",1,239.56,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR005","Energade Grape 24X500ML",1,239.56,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR007","Energade Mixed Berry 24X500ML",1,239.56,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR018","Oros  Mango  24X300ML",1,163.24,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR019","Oros Guava  24X300ML",1,163.24,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR020","Oros  Rasberry  24X300ML",1,163.24,16
"ALL Other","Bromor Foods",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BR030","Energade Zero Blueberry 24X500ML",2,479.12,16
"ALL Other","Oshee",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","BUN001","Bundaberg Ginger Beer 24x375ml",1,460,16
"ALL Other","Frimax",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","FRIM009","Frimax PC Salt & Vin 24x125g",1,326.61,16
"ALL Other","Frimax",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","FRIM012","Frimax PC Fruit Chutney 24x125g",1,326.61,16
"ALL Other","Frimax",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","FRIM031","Frimax Prawn Bites 12x125g",3,688.68,16
"ALL Other","The Beverage Co",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","P5500109","Super C Can Mixed Berry 6x4x500ml",1,189,16
"ALL Other","The Beverage Co",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","P860002","Pepsi Max 6x2lt",4,392,16
"ALL Other","The Beverage Co",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","P860101","Pepsi Cola Can 6x4x500ml",2,399.50,16
"ALL Other","Aquelle",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","QU601","aQuelle Litchi 6x500ml",4,168,16
"ALL Other","Aquelle",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","QU605","aQuelle Granadilla 6x500ml",4,168,16
"ALL Other","Aquelle",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","QU607","aQuelle Marula 6x500ml",4,168,16
"ALL Other","Snack a Juice",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SJ201","Snack a Juice Org S/C 100% 24x500ml",1,343.92,16
"ALL Other","Snack a Juice",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SJ205","Snack a Juice Guava S/C 20% 24x500ml",1,343.92,16
"ALL Other","Dairy Products",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SQ201","SQ D/Thick 12x300ml Chocolate",2,269.57,16
"ALL Other","Dairy Products",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SQ202","SQ D/Thick 12x300ml Strawberry",2,269.57,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI001","Switch Original 24x500ml",2,352.17,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI007","Switch Cranberry/Cherry 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI012","Switch G/Fruit Naartjie VIT C 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI023","Switch Dry Lemon 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI031","Switch Vitamin C Lemon/Ginger 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI033","Switch Kiwi/Mango/Straw 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI040","Biogen Goji Berry/Blood Orange 24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI041","Biogen Redcurrant/Blueberry  24x500ml",1,176.09,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","SWI058","Switch Prickly Pear 24x500ml",2,352.18,16
"ALL Other","Take 5 Juice",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","TA209","Take 5 Drinking Yogh Pea/Apricot 10x300gm",1,124.10,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","V24BB500","Vita24 Blue Berry 500ml 1x6 pack",4,432.42,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","V24LI500","Vita24 Litchi 500ml 1x6 pack",4,432.42,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","V24PF500","Vita24 Passionfruit 500ml 1x6 pack",4,432.42,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","V24RB500","Vita24 Red Berry 500ml 1x6 pack",4,432.42,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","V24TZ500","Vita24 Tangerine 500ml 1x6 pack",4,432.42,16
"ALL Other","Energy Drinks",23/07/2025,"IN-422457","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","VB24LL500","Vita24 Lemon & Lime 500ml 1x6 pack",4,432.42,16
"ALL Other","Take 5 Juice",23/07/2025,"IN-422458","P707","INTERNATIONAL TRAVEL SHOP (PTY) LTD(30DC","P O Box 1212","","Messina","0900","Itsa Border Shops,Duty Free Shops","Beitbridge","Musina","","015 530 0271/2/adele","TA207","Take 5 Drinking Yogh Mix/Berr 10x300gm",5,620.50,16
"ALL Other","Take 5 Juice",23/07/2025,"IN-422458","P707","INTERNATIONAL TRAVEL SHOP (PTY) LTD(30DC","P O Box 1212","","Messina","0900","Itsa Border Shops,Duty Free Shops","Beitbridge","Musina","","015 530 0271/2/adele","TA208","Take 5 Drinking Yogh G/Dilla 10x300gm",5,620.50,16
"ALL Other","Take 5 Juice",23/07/2025,"IN-422458","P707","INTERNATIONAL TRAVEL SHOP (PTY) LTD(30DC","P O Box 1212","","Messina","0900","Itsa Border Shops,Duty Free Shops","Beitbridge","Musina","","015 530 0271/2/adele","TA209","Take 5 Drinking Yogh Pea/Apricot 10x300gm",5,620.50,16
"ALL Other","Take 5 Juice",23/07/2025,"IN-422458","P707","INTERNATIONAL TRAVEL SHOP (PTY) LTD(30DC","P O Box 1212","","Messina","0900","Itsa Border Shops,Duty Free Shops","Beitbridge","Musina","","015 530 0271/2/adele","TA211","Take 5 Drinking Yogh Cappucinno 10x300gm",5,620.50,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","AIR201","Wrigley Gum Airwave  Menth/Eucyl 30",1,295.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","AIR203","Wrigley Gum Airwave  Blackcurrent 30",1,295.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","AIR205","Wrigley Gum Airwave  Cherry Menthol 30",1,295.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","AIR206","Wrigley Gum Airwaves Black Mint 30",1,295.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","ORB172","Wrigley OTC Orbit Bubblemint 30",1,256.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","ORB173","Wrigley OTC Orbit Peppermint 30",1,256.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","ORB174","Wrigley OTC Orbit Spearmint 30",1,256.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","ORB175","Wrigley OTC Orbit Watermelon 30",1,256.20,16
"Independant Forecourts","SG - Wrigley's",23/07/2025,"IN-422459","P521","EXCELLECT 3 CC t/a","IMPALA DIENSSTASIE (3%)(CAD)","P. O. Box 553","Musina","0900","National Road N1","Elegant Fuel","Musina","0900","015 534 3727","ORB179","Wrigley OTC Orbit Strawberry 30",1,256.20,16
"ALL Other","Vapes",23/07/2025,"IN-422460","P1716","FOREVER RESORTS(PTY)LTDA FOREVER RESORT","A FOREVER RESORT (30 D-C)","P.O. Box 4","Tshipise","0901","R525 towards Kruger National Park Pafuri","Gate, Tshipise","Musina","0901","015 539 0634/Marietj","EXGI900","E-Xhale Guarana Ice 5% 900 Puff",1,696,16
"ALL Other","Sweets",23/07/2025,"IN-422461","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","B2616","Beacon Nosh Bar 40's",1,337.26,16
"ALL Other","Sweets",23/07/2025,"IN-422461","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","B2920","Fizz Pop Cherry Tub 40's",4,215.48,16
"ALL Other","Diplomat",23/07/2025,"IN-422461","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","C3402","Cadbury Lunch Bar Large 40x48g",4,1811.36,16
"Independant Forecourts","Diplomat",23/07/2025,"IN-422462","P3459","ELEGANT FUEL MUSINA (REP TO COLLECT P/ME","P.O. Box 1267","Musina","","0900","Elegant Fuel Musina","N1","Muisna","0900","074 249 0520 jacky","C677146","Cadbury Mint Crisp Slab 80g 1x12",1,235.73,16
"Independant Forecourts","Vapes",23/07/2025,"IN-422462","P3459","ELEGANT FUEL MUSINA (REP TO COLLECT P/ME","P.O. Box 1267","Musina","","0900","Elegant Fuel Musina","N1","Muisna","0900","074 249 0520 jacky","EX5KGL","E-Xhale 5K Grape Lychee 5%",1,1230,16
"Galp Energia","Energizer",23/07/2025,"IN-422463","P3530","AST AFRICA TRADING E1 (PTY)LTD 7D REP TO","P.O.BOX 962","TZANEEN","","","9 BEYTEL STREET","MOKOPANE","","","081 093 2999 jaco","ENE002","Energizer Max AAA 2 Pack x 1",5,162.65,8
"ALL Other","National Brands",23/07/2025,"IN-422464","P026","QADC MHANZA (7D C)","40 Limpopo Street","Shop 4 & 5","Peninapark","Polokwane","40 Limpopo Street/Shop 4 en 5","Penina Park","Polokwane","0699","072 886 0064","NB10951","Bkrs Toppers Choc 12x125g",1,114.50,3
"ALL Other","National Brands",23/07/2025,"IN-422464","P026","QADC MHANZA (7D C)","40 Limpopo Street","Shop 4 & 5","Peninapark","Polokwane","40 Limpopo Street/Shop 4 en 5","Penina Park","Polokwane","0699","072 886 0064","NB10969","Bkrs Toppers Choc/Mint 12x125g",1,114.50,3
"Sasol","Energy Drinks",23/07/2025,"IN-422465","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","DRA002","Dragon Energy Drinks 24x500ml",4,800,3
"Sasol","The Beverage Co",23/07/2025,"IN-422465","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","P5500109","Super C Can Mixed Berry 6x4x500ml",2,310.34,3
"Sasol","The Beverage Co",23/07/2025,"IN-422465","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","P5500214","Reboost 6X4 X 500ml Watemelon",1,155.09,3
"Sasol","The Beverage Co",23/07/2025,"IN-422465","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","P730146","Reboost Ener Bcurr/Guarana 24x500ml",1,155.09,3
"ALL Other","Waterberg",23/07/2025,"IN-422466","P3586","BENNIE JOOSTE 10% (I)","112 STEYN STRAAT","EDUANPARK","POLOKWANE","0699","112 STEYN STRAAT","EDUANPARK","POLOKWANE","0699","","W130","Vuka Still 24x500ml",2,237.13,31
"ALL Other","Novelties",23/07/2025,"IN-422467","P395","WYLIES CAFE (5%) (7 D)","P. O. Box 5036","Polokwane North","0750","","Plot 37","Dalmada","Polokwane","0699","015 263 6211","CP48","Crazy Pops Small  Box 48",1,38,3
