SellerID,GUID,Date,Reference,Customer_Code,Name,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Telephone,Stock_Code,Description,Price_Ex_Vat,Quantity,RepCode,ProductBarCodeID
VILJOEN,0,2025-07-21,IN-422300,SP071,SPAR NORTH RAND (11691),SPAR NORTHRAND(11691),P.O.BOX 528,CLAYVILLE,SPAR SOUTPANSBERG-30950 SHOP2 RICKYS CENTRE  61 BOABAB STR LOUIS TRICHARDT VATNO:4590268589,,SQ004,Squeeze-Mee Vanilla 40x130ml,279.13,2,15,
VILJOEN,0,2025-07-21,IN-422300,SP071,SPAR NORTH RAND (11691),SPAR NORTHRAND(11691),P.O.BOX 528,CLAYVILLE,SPAR SOUTPANSBERG-30950 SHOP2 RICKYS CENTRE  61 BOABAB STR LOUIS TRICHARDT VATNO:4590268589,,SQ011,Squeeze-Mee Tof/Car 40x130ml,279.13,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,FN030,Foxi Nax Mixed 40x75g,200.0,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,QU701,aQuelle Litchi 6x1.5lt,79.8,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,QU702,aQuelle Naartjie 6x1.5lt,79.8,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,QU703,aQuelle Strawberry 6x1.5lt,79.8,1,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,QU707,aQuelle Marula 6x1.5lt,79.8,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,QU708,aQuelle Watermelon 6x1.5lt,79.8,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,QU709,aQuelle Honey Melon 6x1.5lt,79.8,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,SJ200,Snack a Juice Assrt S/C 100% 24x500ml,345.92,1,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,SQ201,SQ D/Thick 12x300ml Chocolate,134.78,1,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,SQ202,SQ D/Thick 12x300ml Strawberry,134.78,1,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,V24RB500,Vita24 Red Berry 500ml 1x6 pack,108.1,2,15,
VILJOEN,0,2025-07-21,IN-422301,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,V24TZ500,Vita24 Tangerine 500ml 1x6 pack,108.1,2,15,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,DJWB10,W/B Still DJ Ludick 1x10lt,29.13,30,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,DJWB5,W/Berg Still DJ Ludick 1x5lt,15.22,100,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,SWI001,Switch Original 24x500ml,176.09,1,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,SWI002,Switch Energy Element 24x500ml,176.09,1,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,SWI017,Switch Vit C Orange  24x500ml,176.09,1,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,WBNEW1.5L,"W/B Spring Water Still 12x1,5L",101.74,4,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,WBNEW500,W/B Spring Water Still 24x500ml,118.57,3,14,
VILJOEN,0,2025-07-21,IN-422302,P3793,DJ LUDICK JNR FUEL&OIL DISTRIBUTOR CC,FOURWAYS FILLINS STATION (EFT),P O BOX 12218,BENDOR,R519 ZEBEDIELA PLAZA ZEBEDIELA MOLETLANE ,082 789 6506 MARISSA,WBNEW750,W/B Spring Water Still 12x750ml,89.61,4,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012611,Maynards Summer Drinks Jellies 24 x 100g,457.3,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012862,Maynards Mini Jubes Disp 24x60G NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012866,Maynards Mini Babies Disp. 24x60g NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012871,Maynards Orig W/Gums Disp 24x60G NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012872,Maynards Jelly Jerseys 24x60G NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012874,Maynards Yoghurt Gums 24x60g NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012876,Maynards Red & Black Berry Disp 24x60G NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B012887,Maynards Sour Babies 24 X 60g NEW,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,B3386,Maynards Fruit Pastilles 24x60g,229.57,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,LOL10224,Lolilu Strawberry Kisses 24x75g,218.4,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,LOL10231,Lolilu Watermelon Kisses 24x75g,218.4,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,ZT101,Taki V/P Stokkies Chilli 20X60G,822.2,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,ZT103,Taki V/P P/Peri Beef Sliced 20X80G,822.2,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,ZT206,Taki S/P Beef Strips  20X40G,545.7,1,14,
VILJOEN,0,2025-07-21,IN-422303,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,ZT404,Taki Jar Bites  65,470.9,1,14,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,AIR201,Wrigley Gum Airwave  Menth/Eucyl 30,295.2,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,B012863,Maynards Mini Teddies Disp. 24x60g NEW,258.13,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,B012866,Maynards Mini Babies Disp. 24x60g NEW,258.13,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,B012871,Maynards Orig W/Gums Disp 24x60G NEW,258.13,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,B2151,Maynards Fruit Jelly Beans Disp. 24x60g,258.13,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,B3187,Beacon Slab TV Bar Milk Choc 12x80g,171.25,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,C607336,Halls Extra Strong 18,169.08,2,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,C8004335,Halls Fruit Explosion 18,169.09,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,NES001MIL,Nestle Milkybar Krackle 24x80g,354.96,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,NES002MIL,Nestle Milkybar 24x80g,348.0,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,NES002SMA,Nestle Milkybar Smarties 24x80g,348.0,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,ZT200,Taki S/P Stokkies 20X40G,545.7,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,ZT201,Taki S/P Stokkies Chilli 20X40G,545.7,1,15,
VILJOEN,0,2025-07-21,IN-422304,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,ZT203,Taki Sliced P/Peri 20x50g,545.7,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,AIR201,Wrigley Gum Airwave  Menth/Eucyl 30,295.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,AIR203,Wrigley Gum Airwave  Blackcurrent 30,295.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,AIR205,Wrigley Gum Airwave  Cherry Menthol 30,295.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,AIR206,Wrigley Gum Airwaves Black Mint 30,295.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,AIR207,Wrigley Gum Airwaves Lime&Ginger 30,295.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN003,Mentos Rolls S/berry 40,312.5,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN004,Mentos Rolls Fruit 40,312.5,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN005,Mentos Rolls Grape 40,312.5,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN023,Mentos Gum Bot Curvy Strawberry (35ps)1x6,156.0,3,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN024,Mentos Gum Bot Curvy Spearmint (35ps)1x6,156.0,3,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN025,Mentos Gum Bot Curvy Bubble Fresh (35ps)1x6,156.0,3,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN050,Mentos Gum Wintergreen 1x18,152.5,2,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN053,Mentos Gum PF Mint 1x18,152.5,2,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,MEN054,Mentos Gum PF Strawberry 1x18,152.5,2,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,ORB172,Wrigley OTC Orbit Bubblemint 30,256.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,ORB179,Wrigley OTC Orbit Strawberry 30,256.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,ZT100,Taki V/P Stokkies 20X60G,822.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,ZT101,Taki V/P Stokkies Chilli 20X60G,822.2,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,ZT200,Taki S/P Stokkies 20X40G,545.7,1,15,
VILJOEN,0,2025-07-21,IN-422305,P2187,TOTAL PETROPORT CAPRICORN (I),P.O. Box 88,Bandelierkop,,N1 National Rd (Capricorn Toll Plaza) Bandelierkop Makhado 0800,015 527 1727/8 Tilla,ZT203,Taki Sliced P/Peri 20x50g,545.7,1,15,
VILJOEN,0,2025-07-21,IN-422306,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,B8171,Maynards Mint Imperial  24x75G,242.46,1,15,
VILJOEN,0,2025-07-21,IN-422306,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,C607336,Halls Extra Strong 18,169.09,5,15,
VILJOEN,0,2025-07-21,IN-422306,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,C672215,Stimorol Infinity Mint 1x12,202.61,1,15,
VILJOEN,0,2025-07-21,IN-422306,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,C678176,Stimorol Infinity Trop 1x12,202.61,1,15,
VILJOEN,0,2025-07-21,IN-422306,P094,BANDELIERKOP WINKEL (PTY)LTD 7 D EFT,P.O. Box 8,,Bandelierkop,N1 Pietesburg/Louise Trichardt  Bandelierkop(Louis Trichardt) ,015 516 1206,C680588,Stimorol Infinity Berry Party 1x12,202.61,2,15,
VILJOEN,0,2025-07-21,IN-422307,P2357,RUIMTE WILDSPLAAS CC t/a JUBAWENI (I),P.O.Box 190,Tuinplaas,,Plaas Ruimte 617 KR Waterberg Nylstroom (Modimolle) 0437,082 551 5761,SQ001,Squeeze-Mee Chocolate 40x130ml,279.13,10,11,
VILJOEN,0,2025-07-21,IN-422307,P2357,RUIMTE WILDSPLAAS CC t/a JUBAWENI (I),P.O.Box 190,Tuinplaas,,Plaas Ruimte 617 KR Waterberg Nylstroom (Modimolle) 0437,082 551 5761,SQ002,Squeeze-Mee Strawberry 40x130ml,279.13,10,11,
